Latitude,Longitude,Year,Month,Day,Temperature,Temp_MAX,Temp_MIN,Dew,Wind speed,Wind speed_MAX,Wind speed_MIN,Wind direction,Relative humidity,specfic humidity, Surface Pressure,Fire
29.76,78.68,2021,1,3,12.22,16.87,9.33,5.33,2.48,5.39,1.37,87.56,63.5,6.41,87.71,0
29.76,78.68,2019,3,8,12.23,19.63,6.94,1.66,2.23,5.81,0.41,205.0,51.38,4.94,87.56,0
29.37,79.02,2020,2,3,12.24,20.45,7.05,0.27,2.27,3.14,1.67,165.88,46.38,4.09,95.84,0
29.42,79.09,2020,2,22,12.26,17.71,7.44,7.55,1.91,2.58,1.16,131.81,74.25,7.32,89.91,0
29.42,79.09,2020,2,12,12.3,20.86,5.49,2.91,2.75,5.52,1.07,239.25,55.12,5.37,89.64,0
29.76,78.68,2021,1,8,12.3,19.0,8.5,-2.18,1.25,3.04,0.2,148.81,38.56,3.91,87.53,0
29.42,79.09,2020,2,25,12.36,16.04,9.05,9.38,1.62,2.56,0.41,136.0,82.88,8.3,89.37,0
29.42,79.09,2021,1,21,12.4,22.21,6.07,-4.85,2.09,4.42,0.8,145.38,32.94,3.05,89.02,0
29.37,79.02,2021,1,14,12.44,20.18,6.93,-2.17,1.86,2.59,0.76,131.0,38.19,3.42,95.5,0
29.42,79.09,2020,3,8,12.47,20.86,5.44,6.19,2.61,4.08,0.79,187.19,69.19,6.71,89.51,0
29.76,78.68,2021,1,11,12.47,20.26,8.48,-5.35,1.8,4.27,0.27,184.69,31.81,3.11,87.5,0
29.76,78.68,2021,1,1,12.47,19.77,8.7,-8.56,1.78,4.45,0.27,141.69,23.31,2.32,87.71,0
29.42,79.09,2019,3,2,12.48,19.48,6.88,1.54,2.02,3.77,0.79,118.0,51.19,4.88,89.51,0
29.76,78.68,2020,2,19,12.48,19.11,7.07,0.21,2.38,3.82,1.11,118.38,45.25,4.46,87.66,0
29.37,79.02,2021,1,29,12.53,20.71,7.61,-3.48,2.77,4.8,1.48,180.81,34.75,3.05,95.7,0
29.42,79.09,2020,2,27,12.54,18.3,8.49,8.73,1.85,3.33,0.46,138.69,79.62,7.93,89.51,0
29.42,79.09,2021,2,7,12.55,22.87,4.35,-1.35,2.28,3.88,0.73,142.38,42.94,3.91,89.38,1
29.42,79.09,2021,1,16,12.55,22.66,7.44,-4.95,2.55,5.13,1.48,270.94,32.44,2.99,89.1,0
29.42,79.09,2021,1,12,12.57,21.94,7.66,-4.35,2.05,4.73,0.89,290.56,33.81,3.17,89.31,0
29.76,78.68,2020,3,5,12.57,17.68,8.41,5.55,2.91,5.6,1.2,95.12,64.0,6.59,87.35,0
29.76,78.68,2021,2,8,12.67,21.19,6.26,-1.37,1.91,4.95,0.05,180.0,40.25,3.97,87.7,0
29.42,79.09,2019,3,5,12.69,19.55,8.08,5.49,2.3,3.87,0.74,198.56,64.81,6.35,88.94,0
29.44,79.05,2021,1,30,12.73,21.62,7.54,-3.43,2.8,5.12,1.47,169.19,34.69,3.11,95.58,1
29.76,78.68,2021,1,7,12.73,20.6,8.95,-0.02,1.72,3.7,0.66,137.31,46.19,4.64,87.49,0
29.76,78.68,2020,2,28,12.73,19.1,7.51,7.6,2.02,4.11,0.62,140.94,73.56,7.51,87.62,0
29.76,78.68,2021,1,19,12.74,19.58,9.33,0.22,2.2,5.21,0.62,157.19,43.38,4.46,87.37,0
29.42,79.09,2019,3,3,12.75,19.79,7.33,6.83,2.42,3.24,1.52,151.44,69.56,6.96,89.27,0
29.42,79.09,2020,2,26,12.77,18.19,8.82,8.54,1.66,3.02,0.5,138.31,77.56,7.81,89.39,0
29.42,79.09,2021,2,2,12.8,21.8,6.5,-4.27,2.7,5.09,1.15,172.56,33.44,3.11,89.6,1
29.42,79.09,2021,1,6,12.8,18.62,9.77,7.59,1.98,2.77,0.65,62.12,71.56,7.32,89.51,0
29.42,79.09,2020,2,23,12.89,17.98,9.23,8.98,1.63,2.68,0.23,97.31,78.25,8.06,89.76,0
29.76,78.68,2020,2,16,12.89,20.94,6.64,-0.59,2.1,4.41,0.77,164.94,41.5,4.21,87.72,0
29.76,78.68,2020,3,13,12.91,16.76,10.05,10.38,3.16,6.35,0.98,150.31,85.56,9.03,87.56,0
29.76,78.68,2020,3,11,12.97,20.01,7.87,7.36,3.49,6.77,1.49,122.06,71.5,7.51,87.3,0
29.37,79.02,2021,1,21,12.98,22.27,6.52,-0.63,2.76,5.96,1.58,153.88,42.56,3.85,95.24,0
29.76,78.68,2019,3,9,12.98,20.24,7.26,2.73,3.08,5.89,1.35,178.0,52.38,5.37,87.48,0
29.76,78.68,2021,1,4,12.98,19.09,8.55,4.8,2.51,4.02,0.41,122.06,58.81,6.16,87.81,0
29.37,79.02,2021,1,26,12.99,21.43,8.01,-0.13,2.27,3.18,0.81,180.69,43.25,3.97,95.65,0
